time_ns,q0,q1,q2,q3,q4,q5,q6,v0,v1,v2,v3,v4,v5,v6,a0,a1,a2,a3,a4,a5,a6,ee_pos_x,ee_pos_y,ee_pos_z,ee_rot_x,ee_rot_y,ee_rot_z,ee_rot_w
5170327634,0.1623,-0.915301,-0.676609,-2.95292,-0.606302,2.23024,-0.875549,-0.00739688,0.0199276,-0.125911,-0.0191059,-0.0782729,0.0750713,-0.1875,-0.0739688,0.199276,-1.25911,-0.191059,-0.782729,0.750713,-1.875,0.273558,-0.118846,0.358664,0.896558,0.436053,0.0702088,0.0333581
5270327634,0.161195,-0.912323,-0.695424,-2.95578,-0.617998,2.24146,-0.903568,-0.0136811,0.0368576,-0.232882,-0.0353379,-0.144772,0.138851,-0.346797,0.0739688,-0.199276,1.25911,0.191059,0.782729,-0.750713,1.875,0.272741,-0.122111,0.355514,0.891535,0.445889,0.0724568,0.0331342
5370327634,0.160197,-0.909633,-0.712417,-2.95835,-0.628562,2.25159,-0.928872,-0.00628426,0.0169301,-0.106972,-0.016232,-0.0664993,0.0637793,-0.159297,0.0739688,-0.199276,1.25911,0.191059,0.782729,-0.750713,1.875,0.271946,-0.124998,0.352655,0.886898,0.454721,0.07451,0.0330002
5455285854,0.15993,-0.908914,-0.716961,-2.95904,-0.631387,2.2543,-0.935639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271725,-0.125759,0.351888,0.885642,0.457074,0.0750626,0.0329755
5455285854,0.15993,-0.908915,-0.716959,-2.95904,-0.631385,2.2543,-0.935636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271725,-0.125759,0.351889,0.885643,0.457073,0.0750623,0.0329755
5555285854,0.159797,-0.907703,-0.723367,-2.95967,-0.63504,2.25782,-0.945011,-0.00264977,0.024222,-0.128168,-0.012561,-0.0731017,0.0704391,-0.1875,-0.0264977,0.24222,-1.28168,-0.12561,-0.731017,0.704391,-1.875,0.271468,-0.126857,0.350861,0.883932,0.460266,0.075782,0.0328278
5655285854,0.159406,-0.904131,-0.742272,-2.96152,-0.645823,2.26821,-0.972668,-0.00446227,0.0407903,-0.215838,-0.021153,-0.123105,0.118621,-0.315754,0.0264977,-0.24222,1.28168,0.12561,0.731017,-0.704391,1.875,0.270668,-0.130058,0.347814,0.878815,0.469638,0.0779179,0.0324485
5755285854,0.159093,-0.901263,-0.757448,-2.96301,-0.654479,2.27655,-0.994868,-0.0018125,0.0165684,-0.0876697,-0.00859199,-0.0500032,0.0481819,-0.128254,0.0264977,-0.24222,1.28168,0.12561,0.731017,-0.704391,1.875,0.269978,-0.132586,0.345353,0.874635,0.477109,0.0796451,0.032205
5823688028,0.159031,-0.900696,-0.760446,-2.96331,-0.656189,2.2782,-0.999254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269837,-0.133081,0.344865,0.873802,0.47858,0.0799877,0.0321633
5823688028,0.159031,-0.900696,-0.760446,-2.96331,-0.656189,2.2782,-0.999254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269837,-0.133081,0.344865,0.873802,0.47858,0.0799877,0.0321633
5923688028,0.159151,-0.899324,-0.766941,-2.96364,-0.659593,2.28148,-1.00863,0.00239986,0.0274497,-0.129897,-0.00670316,-0.0680814,0.0656403,-0.1875,0.0239986,0.274497,-1.29897,-0.0670316,-0.680814,0.656403,-1.875,0.269582,-0.134171,0.343856,0.872042,0.481676,0.0806787,0.0319684
6023688028,0.159497,-0.895364,-0.78568,-2.96461,-0.669414,2.29095,-1.03568,0.00364994,0.0417482,-0.19756,-0.0101948,-0.103545,0.0998321,-0.285168,-0.0239986,-0.274497,1.29897,0.0670316,0.680814,-0.656403,1.875,0.268804,-0.137285,0.340926,0.866906,0.490559,0.082679,0.031463
6123688028,0.159742,-0.892561,-0.798941,-2.96529,-0.676365,2.29765,-1.05482,0.00125008,0.0142985,-0.067663,-0.00349165,-0.0354633,0.0341918,-0.0976681,-0.0239986,-0.274497,1.29897,0.0670316,0.680814,-0.656403,1.875,0.268215,-0.139463,0.338838,0.863219,0.496799,0.0840996,0.0311566
6175777657,0.159774,-0.892189,-0.800703,-2.96538,-0.677288,2.29854,-1.05736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268134,-0.139751,0.33856,0.862726,0.497625,0.0842886,0.031119
6175777657,0.159774,-0.892189,-0.800703,-2.96538,-0.677288,2.29854,-1.05736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268134,-0.139751,0.33856,0.862726,0.497625,0.0842886,0.031119
6275777657,0.160256,-0.890658,-0.807269,-2.96535,-0.680335,2.30148,-1.06674,0.00962635,0.0306092,-0.131303,0.000635274,-0.0609369,0.0587256,-0.1875,0.0962635,0.306092,-1.31303,0.00635274,-0.609369,0.587256,-1.875,0.267903,-0.14084,0.337583,0.860931,0.500631,0.0849361,0.0308394
6375777657,0.1617,-0.886067,-0.826964,-2.96526,-0.689476,2.31029,-1.09486,0.0192527,0.0612183,-0.262607,0.00127055,-0.121874,0.117451,-0.375,0.0962635,0.306092,-1.31303,0.00635274,-0.609369,0.587256,-1.875,0.267162,-0.144086,0.334628,0.855493,0.509588,0.0868783,0.0300635
6475777657,0.163665,-0.879817,-0.853773,-2.96513,-0.701918,2.32228,-1.13315,0.0158464,0.0503873,-0.216145,0.00104576,-0.100311,0.0966712,-0.308653,-0.0962635,-0.306092,1.31303,-0.00635274,0.609369,-0.587256,1.875,0.266041,-0.148453,0.330551,0.84796,0.521632,0.0895171,0.0291589
6575777657,0.164768,-0.876309,-0.868823,-2.96505,-0.708902,2.32901,-1.15464,0.00622006,0.0197781,-0.0848417,0.000410482,-0.0393744,0.0379455,-0.121153,-0.0962635,-0.306092,1.31303,-0.00635274,0.609369,-0.587256,1.875,0.265355,-0.150877,0.328236,0.843667,0.528318,0.0909937,0.028727
6640392627,0.164969,-0.87567,-0.871564,-2.96504,-0.710174,2.33024,-1.15855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265225,-0.151317,0.327812,0.842881,0.52953,0.0912622,0.0286542
6640392627,0.164964,-0.875688,-0.871488,-2.96504,-0.710139,2.3302,-1.15844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265229,-0.151305,0.327824,0.842902,0.529497,0.0912548,0.0286562
6740392627,0.16591,-0.87406,-0.878128,-2.96461,-0.712792,2.3327,-1.16782,0.0189148,0.0325504,-0.132799,0.00870584,-0.0530525,0.0499017,-0.1875,0.189148,0.325504,-1.32799,0.0870584,-0.530525,0.499017,-1.875,0.264996,-0.152382,0.326867,0.84103,0.532381,0.0918495,0.028323
6840392627,0.168747,-0.869178,-0.898048,-2.9633,-0.72075,2.34018,-1.19594,0.0378296,0.0651008,-0.265598,0.0174117,-0.106105,0.0998033,-0.375,0.189148,0.325504,-1.32799,0.0870584,-0.530525,0.499017,-1.875,0.26425,-0.1556,0.323968,0.835367,0.540968,0.0936225,0.0273853
